,date,tavg
193,2023-07-13,81.6942
194,2023-07-14,78.5856
195,2023-07-15,75.31139999999999
196,2023-07-16,79.689
197,2023-07-17,74.2782
198,2023-07-18,79.9572
199,2023-07-19,75.63
200,2023-07-20,73.8534
201,2023-07-21,77.3022
202,2023-07-22,75.76679999999999
203,2023-07-23,74.8686
204,2023-07-24,78.2526
205,2023-07-25,77.12219999999999
206,2023-07-26,74.6472
207,2023-07-27,77.98259999999999
208,2023-07-28,81.9246
209,2023-07-29,82.10640000000001
210,2023-07-30,75.62100000000001
211,2023-07-31,70.9122
212,2023-08-01,73.2072
213,2023-08-02,70.239
214,2023-08-03,70.87440000000001
215,2023-08-04,72.786
216,2023-08-05,71.4666
217,2023-08-06,75.3708
218,2023-08-07,74.42580000000001
219,2023-08-08,73.47
220,2023-08-09,72.606
221,2023-08-10,77.1366
222,2023-08-11,71.6376
223,2023-08-12,74.8668
224,2023-08-13,75.0612
225,2023-08-14,77.8278
226,2023-08-15,76.5462
227,2023-08-16,71.8554
228,2023-08-17,74.0334
229,2023-08-18,70.923
230,2023-08-19,70.1796
231,2023-08-20,70.1976
232,2023-08-21,75.9666
233,2023-08-22,75.46979999999999
234,2023-08-23,69.9996
235,2023-08-24,71.742
236,2023-08-25,68.0736
237,2023-08-26,72.2676
238,2023-08-27,74.9964
239,2023-08-28,74.5824
240,2023-08-29,69.6252
241,2023-08-30,73.06139999999999
242,2023-08-31,72.435
243,2023-09-01,66.531
244,2023-09-02,66.6444
245,2023-09-03,70.4586
246,2023-09-04,78.08340000000001
247,2023-09-05,80.0976
248,2023-09-06,81.723
249,2023-09-07,83.11080000000001
250,2023-09-08,80.9958
251,2023-09-09,78.74940000000001
252,2023-09-10,76.18440000000001
253,2023-09-11,71.3622
254,2023-09-12,73.17840000000001
255,2023-09-13,74.4546
256,2023-09-14,70.7304
257,2023-09-15,65.8164
258,2023-09-16,62.148
259,2023-09-17,65.631
260,2023-09-18,68.223
261,2023-09-19,61.554
262,2023-09-20,64.0866
263,2023-09-21,64.5078
264,2023-09-22,63.9048
265,2023-09-23,63.1524
266,2023-09-24,57.9828
267,2023-09-25,61.163399999999996
268,2023-09-26,57.4122
269,2023-09-27,54.9858
270,2023-09-28,58.400400000000005
271,2023-09-29,59.0268
272,2023-09-30,57.7344
273,2023-10-01,59.5794
274,2023-10-02,67.6956
275,2023-10-03,67.25280000000001
276,2023-10-04,70.20840000000001
277,2023-10-05,70.15620000000001
278,2023-10-06,69.0024
279,2023-10-07,66.8442
280,2023-10-08,57.432
281,2023-10-09,52.3614
282,2023-10-10,53.821200000000005
283,2023-10-11,57.1566
284,2023-10-12,60.0942
285,2023-10-13,59.2428
286,2023-10-14,56.4276
287,2023-10-15,49.9764
288,2023-10-16,52.159800000000004
289,2023-10-17,55.4088
290,2023-10-18,55.9596
291,2023-10-19,55.210800000000006
292,2023-10-20,57.7614
293,2023-10-21,59.755799999999994
294,2023-10-22,55.4934
295,2023-10-23,50.3742
296,2023-10-24,52.5774
297,2023-10-25,56.053200000000004
298,2023-10-26,61.845600000000005
299,2023-10-27,67.02600000000001
300,2023-10-28,66.69300000000001
301,2023-10-29,65.85419999999999
302,2023-10-30,51.229200000000006
303,2023-10-31,50.640600000000006
304,2023-11-01,45.0642
305,2023-11-02,40.773
306,2023-11-03,41.8386
307,2023-11-04,47.694
308,2023-11-05,51.486599999999996
309,2023-11-06,52.6188
310,2023-11-07,48.7488
311,2023-11-08,52.1256
312,2023-11-09,44.5026
313,2023-11-10,50.6874
314,2023-11-11,45.849000000000004
315,2023-11-12,43.6476
316,2023-11-13,38.0514
317,2023-11-14,40.683
318,2023-11-15,44.238
319,2023-11-16,44.6754
320,2023-11-17,53.452200000000005
321,2023-11-18,57.2178
322,2023-11-19,45.5844
323,2023-11-20,43.9014
324,2023-11-21,37.8966
325,2023-11-22,42.501000000000005
326,2023-11-23,47.650800000000004
327,2023-11-24,46.315200000000004
328,2023-11-25,38.748000000000005
329,2023-11-26,34.1436
330,2023-11-27,43.32
331,2023-11-28,40.6308
332,2023-11-29,31.3014
333,2023-11-30,30.1692
334,2023-12-01,40.5156
335,2023-12-02,42.2292
336,2023-12-03,49.6524
337,2023-12-04,45.321600000000004
338,2023-12-05,42.582
339,2023-12-06,36.6456
340,2023-12-07,34.2858
341,2023-12-08,33.753
342,2023-12-09,41.727000000000004
343,2023-12-10,46.9434
344,2023-12-11,48.1386
345,2023-12-12,37.0542
346,2023-12-13,37.3728
347,2023-12-14,37.3494
348,2023-12-15,34.7538
349,2023-12-16,45.3306
350,2023-12-17,46.947
351,2023-12-18,52.0176
352,2023-12-19,47.1198
353,2023-12-20,34.2876
354,2023-12-21,35.9004
355,2023-12-22,31.287
356,2023-12-23,29.6886
357,2023-12-24,36.0354
358,2023-12-25,41.2752
359,2023-12-26,42.8664
360,2023-12-27,43.4424
361,2023-12-28,45.156
362,2023-12-29,47.659800000000004
363,2023-12-30,44.175
364,2023-12-31,39.7524
