,Year,TempAvg
0,1869,51.48990335381465
1,1870,53.69035138248848
2,1871,51.30263056835637
3,1872,51.3201844642195
4,1873,50.77988671274962
5,1874,51.2610343061956
6,1875,49.39036418330773
7,1876,51.9442096156223
8,1877,52.78064836149514
9,1878,53.611587941628265
10,1879,52.155158730158725
11,1880,52.903142380422686
12,1881,52.20311059907834
13,1882,51.71419290834613
14,1883,50.158026113671276
15,1884,52.232358484736125
16,1885,50.553523425499236
17,1886,51.261741551459295
18,1887,50.93291730670763
19,1888,49.4329733654678
20,1889,52.787403993855605
21,1890,52.967178699436765
22,1891,54.133445340501794
23,1892,52.22110524039056
24,1893,50.70318740399386
25,1894,52.97692652329749
26,1895,53.00302099334357
27,1896,53.626093807934744
28,1897,53.60413786482335
29,1898,55.04829429083461
30,1899,53.955961981566816
31,1900,54.19361879160266
32,1901,52.44540130568356
33,1902,52.9921626984127
34,1903,53.05579877112135
35,1904,50.86748238783834
36,1905,53.414052099334356
37,1906,55.016221838197644
38,1907,52.86866679467486
39,1908,55.01634377703621
40,1909,53.66723310291858
41,1910,53.52894905273937
42,1911,53.44493407578085
43,1912,52.709825732295144
44,1913,54.919444444444444
45,1914,51.93945852534562
46,1915,53.42236943164363
47,1916,52.18429118773946
48,1917,50.707610087045566
49,1918,53.14384920634921
50,1919,53.753715437788024
51,1920,52.24063620071684
52,1921,54.87307987711213
53,1922,53.50219854070661
54,1923,52.860144649257556
55,1924,51.879046162402666
56,1925,53.416177035330264
57,1926,51.21036546338966
58,1927,53.39369559651818
59,1928,53.51137683846249
60,1929,54.07432475678443
61,1930,54.47795698924731
62,1931,55.76071108550948
63,1932,55.1384145964652
64,1933,54.214554531490016
65,1934,52.931045186891964
66,1935,53.00147529441884
67,1936,53.35680231120998
68,1937,54.421121351766516
69,1938,55.16745071684588
70,1939,54.62343189964158
71,1940,51.85821900877519
72,1941,54.89628456221198
73,1942,54.028068996415776
74,1943,53.71003904249872
75,1944,54.60742337164751
76,1945,54.06460253456222
77,1946,55.330059523809524
78,1947,53.72809139784946
79,1948,54.05362439747868
80,1949,56.86632104454685
81,1950,53.56001984126984
82,1951,55.03893049155146
83,1952,55.789818934618715
84,1953,57.030113927291346
85,1954,54.861357526881726
86,1955,54.64465885816693
87,1956,53.479131133358045
88,1957,55.41060867895545
89,1958,52.50724526369688
90,1959,55.37380952380952
91,1960,53.99731337288345
92,1961,55.02542562724014
93,1962,53.40392665130568
94,1963,53.543449180747565
95,1964,54.534688233840065
96,1965,54.15709165386585
97,1966,55.014893753200205
98,1967,52.93135880696365
99,1968,54.04800086515882
100,1969,54.75014720942141
101,1970,54.25308179723502
102,1971,55.1796626984127
103,1972,53.83242491657398
104,1973,56.03753520225294
105,1974,54.6575428827445
106,1975,54.906246799795184
107,1976,53.33631040662465
108,1977,54.312202380952385
109,1978,52.92612647209421
110,1979,55.66857398873528
111,1980,54.94083858608331
112,1981,55.18052035330262
113,1982,54.839877752176136
114,1983,55.95290898617512
115,1984,55.4240807687554
116,1985,55.50993023553507
117,1986,55.2295410906298
118,1987,55.10279377880184
119,1988,54.76119144728711
120,1989,53.92450716845878
121,1990,57.182955709165384
122,1991,57.19571492575525
123,1992,53.90754387591151
124,1993,55.455152329749104
125,1994,55.19506528417819
126,1995,55.262663210445474
127,1996,53.69280373254233
128,1997,54.2755376344086
129,1998,57.127172939068096
130,1999,56.460791090629805
131,2000,53.79722685700161
132,2001,56.193321172555045
133,2002,56.400720046082945
134,2003,53.38390937019969
135,2004,54.48351872450871
136,2005,55.71686507936508
137,2006,56.78852086533538
138,2007,55.01245519713262
139,2008,55.34189531578297
140,2009,54.014989759344594
141,2010,56.68491423451101
142,2011,56.4143561187916
143,2012,57.30154647138796
144,2013,55.32118855606759
145,2014,54.37551523297491
146,2015,56.63845686123912
147,2016,57.16011772339636
148,2017,56.34585573476702
149,2018,55.87448156682027
150,2019,55.60343061955965
151,2020,57.27555926337906
152,2021,56.861152713773684
153,2022,56.229688631106875
